srcIata,dstIata, flights ,stage, duration 
THR,MHD,15,468,1
PHX,ORD,15,1440,3
YYZ,YOW,15,226,1
NRT,CTS,15,490,1
ORD,PHX,15,1440,3
YOW,YYZ,15,226,1
PVG,CGQ,15,911,2
BOI,SEA,15,399,1
SEA,BOI,15,399,1
JFK,BOS,15,187,1
SYD,PER,15,2041,5
DEN,SFO,15,967,2
KGD,LED,15,508,1
CTS,NRT,15,490,1
PKX,CSX,15,801,2
BOS,JFK,15,187,1
LED,KGD,15,508,1
YIA,CGK,15,264,1
SFO,DEN,15,967,2
CSX,PKX,15,801,2
FRA,BER,15,268,1
SAN,DEN,15,853,2
CGK,YIA,15,264,1
BER,FRA,15,268,1
MBA,NBO,15,262,1
DEN,SAN,15,853,2
GRU,REC,15,1302,3
REC,GRU,15,1302,3
BOM,DXB,15,1197,3
DXB,BOM,15,1197,3
NBO,MBA,15,262,1
HND,NGS,15,592,1
NGS,HND,15,592,1
CTS,SDJ,15,324,1
HIJ,HND,15,396,1
HND,HIJ,15,396,1
SDJ,CTS,15,324,1
HGH,PKX,15,679,2
PKX,HGH,15,679,2
SJC,SAN,15,417,1
FRA,MUC,15,187,1
MUC,FRA,15,187,1
PVG,NRT,15,1119,2
CHC,WLG,15,189,1
SAN,SJC,15,417,1
NRT,PVG,15,1119,2
MCO,PHL,15,861,2
PHL,MCO,15,861,2
ADB,SAW,15,213,1
CGY,MNL,15,467,1
MNL,CGY,15,467,1
ORD,SEA,15,1721,4
SEA,ORD,15,1721,4
SAW,ADB,15,213,1
IAH,LAX,15,1379,3
LAX,IAH,15,1379,3
AER,SVO,15,874,2
SVO,AER,15,874,2
PKU,CGK,15,579,1
ATL,LAX,15,1946,4
POS,TAB,15,51,1
TAB,POS,15,51,1
LAX,ATL,15,1946,4
PER,SYD,15,2041,5
CGK,PKU,15,579,1
WLG,CHC,15,189,1
ORD,SFO,15,1846,4
SFO,ORD,15,1846,4
ATH,JTR,15,136,1
TIJ,GDL,15,1181,3
GDL,TIJ,15,1181,3
JTR,ATH,15,136,1
CGK,PDG,15,573,1
HNL,LAX,15,2556,6
LAX,HNL,15,2556,6
YHZ,YYZ,15,802,2
YYZ,YHZ,15,802,2
DEN,COS,15,72,1
COS,DEN,15,72,1
WUH,KMG,15,791,2
MCO,LGA,15,950,2
PDG,CGK,14,573,1
SEA,DFW,14,1660,4
DFW,SEA,14,1660,4
KMG,WUH,14,791,2
LGA,MCO,14,950,2
YUL,YTZ,14,306,1
YTZ,YUL,14,306,1
LAS,ORD,14,1515,3
ORD,LAS,14,1515,3
MNL,SIN,14,1474,3
SIN,MNL,14,1474,3
BTH,CGK,14,528,1
CGK,BTH,14,528,1
PEK,HKG,14,1234,3
